Dataset,Seed,d_nn,W_exact,W_proposed,abs_gap,pct_gap
Synthetic,42,0.013578782554764907,0.2788093530737446,0.4662486789814154,0.18743932590767082,67.22849281820665
Synthetic,43,0.012405156189567642,0.0864442963974553,0.7872904695018048,0.7008461731043495,810.7488895299525
Synthetic,44,0.013314328531111051,0.0802519457793553,0.1487348267076872,0.06848288092833191,85.33485420605096
Synthetic,45,0.013327535335681198,0.2685335110948792,0.4060084406408374,0.1374749295459582,51.19470154225372
Synthetic,46,0.013829088585908842,0.2844289080467344,0.4780693169701342,0.19364040892339984,68.08042482502618
Synthetic,47,0.012452250319253124,0.2744515828713793,0.5003062622081975,0.22585467933681824,82.2930868074695
Synthetic,48,0.01226495187666773,0.0869659460443061,0.7119493999021127,0.6249834538578066,718.6530846676462
Synthetic,49,0.013267679045239712,0.1002596240619084,0.6009388553532641,0.5006792312913557,499.3827136058239
Synthetic,50,0.013095403509416353,0.2731187285366673,0.4834874658661641,0.2103687373294968,77.02464728677657
Synthetic,51,0.013156682020422007,0.0743398480029594,0.1698664029323551,0.09552655492939571,128.49979855432701
HCV,42,1.5930604398182064,759.2016994890844,947.4123068802631,188.21060739117877,24.790593529734956
HCV,43,1.5426439372251604,830.4984273958305,898.554727454414,68.05630005858347,8.194633224289854
HCV,44,1.6013576808961159,1052.975936298131,1207.391041836264,154.41510553813305,14.664637644142061
HCV,45,1.5623043601351485,764.1654304015917,956.512798255432,192.3473678538403,25.170906743681932
HCV,46,1.5659467037646748,702.8038821094325,1129.9324975899406,427.1286154805081,60.77493684276498
HCV,47,1.5806827345794694,668.2309951990168,830.9578772510097,162.7268820519929,24.351890771473204
HCV,48,1.5629563181200399,793.9773317971443,898.9836749222482,105.00634312510385,13.225357818141367
HCV,49,1.579743827226978,772.7379261696614,940.4651039289358,167.72717775927447,21.705570812432015
HCV,50,1.6124338919178316,1002.8929248999402,1137.8084130701277,134.91548817018747,13.452631364773875
HCV,51,1.644059124944398,1198.1856117039542,1356.711291968456,158.52568026450172,13.230477708629836
