Dataset,Mode,N,Seed,Repetition,Generations,W_pos,Time_s
Synthetic,full,1000,45,4,1000,77.54978491915048,483.8093972206116
Synthetic,full,1000,46,5,1000,79.52751227487218,552.0783281326294
Synthetic,full,1000,47,6,1000,76.59305803610458,547.4922368526459
Synthetic,full,1000,48,7,1000,78.76333510932338,712.6998772621155
Synthetic,full,1000,49,8,1000,79.701195264204,744.8039948940277
Synthetic,full,1000,50,9,1000,78.0831603766874,719.3096351623535
Synthetic,full,1000,51,10,1000,76.45171507444792,742.8654553890228
Synthetic,full,1000,52,11,1000,74.98882812540228,717.8626754283905
Synthetic,full,1000,53,12,1000,70.03109358246392,744.6495044231415
Synthetic,full,1000,54,13,1000,83.62307131864577,744.5776813030243
Synthetic,full,1000,55,14,1000,77.11141943483521,477.34413480758667
Synthetic,full,1000,56,15,1000,77.73687708662077,476.8364005088806
Synthetic,full,1000,57,16,1000,80.13055980789044,502.07461643218994
Synthetic,full,1000,58,17,1000,76.54378743940266,743.0857434272766
Synthetic,full,1000,59,18,1000,76.77383942309237,741.8250041007996
Synthetic,full,1000,60,19,1000,81.19043993758815,560.496684551239
Synthetic,full,1000,61,20,1000,75.51586182539505,518.9389526844025
Synthetic,full,1000,62,21,1000,75.58803250416591,547.3455295562744
Synthetic,full,1000,63,22,1000,79.38281945305565,522.6612024307251
Synthetic,full,1000,64,23,1000,81.03830086310377,449.3064057826996
Synthetic,full,1000,65,24,1000,79.22326406724682,469.10939598083496
Synthetic,full,1000,66,25,1000,71.23352553861409,744.8983025550842
Synthetic,full,1000,67,26,1000,76.76938021773913,726.9949247837067
Synthetic,full,1000,68,27,1000,82.52109133701443,571.0270767211914
Synthetic,full,1000,69,28,1000,74.1292311829448,680.7141518592834
Synthetic,full,1000,70,29,1000,77.63175714147336,603.4668114185333
Synthetic,full,1000,71,30,1000,74.89555797630817,591.1967854499817
